index,Area,Unit Price (Saleable)int,gain/loss
208,To Kwa Wan,9727,1
209,To Kwa Wan,,
210,To Kwa Wan,11529,
211,Mid-Levels East,14925,1
212,Diamond Hill,9221,
213,Tin Shui Wai,15928,
214,Tsing Yi,11532,0
215,Tsing Yi,9375,1
216,Tin Shui Wai,11848,1
217,Tsing Yi,14620,
218,Tsing Yi,15964,
219,Tsuen Wan Town Centre,13417,1
220,Tin Shui Wai,10913,1
221,Tuen Mun North,,
222,Tsim Sha Tsui,9968,0
223,Luk Yeung,13368,1
224,Luk Yeung,13371,1
225,Tung Chung Town Centre,10568,
226,Tung Chung Town Centre,10598,
227,Tuen Mun San Hui,11940,
228,Kwun Tong,,
229,Chai Wan,9921,
230,Kwun Tong,,
231,Whampoa,12970,
232,North Point,15432,1
233,Tsing Yi,9661,
234,Tuen Mun Town Centre,11850,1
235,Quarry Bay,15090,
236,Luk Yeung,12360,1
237,Luk Yeung,13933,1
238,Nam Cheong Station,26666,
239,Ap Lei CHau,10142,
240,Nam Cheong Station,21579,
241,Tai Kok Tsui,8333,
242,Kennedy Town,12371,
243,Yuen Long Station,13840,1
244,Tsing Yi,5028,
245,Tsuen King Circuit,10829,1
246,North Point,13565,1
247,Au Tau,13636,1
248,Tsing Yi,5230,
249,Belvedere,10509,1
250,Kowloon Bay,13386,1
251,Olympic Station,22685,1
252,North Point,14728,
253,Causeway Bay,14993,1
254,Hung Shui Kiu North New Development Area,9892,1
255,Kwun Tong,11014,
256,Yuen Long Town Centre,11119,1
257,Kennedy Town,18090,1
258,Tsuen King Circuit,12707,1
259,Sai Ying Pun,17112,1
260,Sai Wan Ho,13227,1
261,Cheung Sha Wan,13296,
262,Tsuen Wan Town Centre,9980,
263,Kai Tak New Area,29343,
264,Pok Fu Lam,11905,
265,Tin Shui Wai,8440,1
266,Whampoa,18588,1
267,Pok Fu Lam,13508,1
268,Siu Hong,13663,1
269,Ha Kwai Chung,12861,0
270,Yau Kom Tau,10737,1
271,Tsuen Wan West,20731,0
272,Yau Ma Tei,17177,
273,Discovery Park,13385,
274,Tsing Yi,12545,1
275,Tin Shui Wai,15431,
276,Tsing Lung Tau,9497,0
277,Tin Shui Wai,9681,1
278,Tin Shui Wai,10256,0
279,Tin Shui Wai,14816,
280,Sai Ying Pun,13037,0
281,Tuen Mun San Hui,10530,1
282,Lam Tin,12663,1
283,Lam Tin,12669,1
284,Tin Shui Wai,15293,
285,Siu Hong,12598,1
286,Olympic Station,25105,1
287,Heng Fa Chuen,16203,
288,Yuen Long Station,13261,1
289,Tuen Mun North,7851,
290,Tuen Mun North,8700,
291,Laguna,21430,1
292,Tin Shui Wai,13559,
293,Kowloon Tong,13454,1
294,Mid-Levels West,19794,1
295,Wong Tai Sin,13430,1
296,Wong Tai Sin,9306,
297,Sham Shui Po,13300,
298,Sai Wan Ho,27730,1
299,Tuen Mun South,6282,
300,Tin Hau,24742,1
301,So Kwun Wat,16004,
302,So Kwun Wat,12735,1
303,Tsing Yi,10084,1
304,Tsing Yi,5081,
305,Cheung Sha Wan,16998,1
306,Tai Kok Tsui,9459,1
307,Tai Kok Tsui,21655,
308,To Kwa Wan,12726,1
309,Sai Wan Ho,10855,
310,Kam Tin,14237,1
311,Tsing Yi,16602,
312,Tin Shui Wai,16260,
313,Tuen Mun Town Centre,15477,1
314,Tsing Yi,5574,
315,Tsing Yi,5089,
316,Tsuen King Circuit,8917,1
317,Tsing Yi,5263,
318,Tsing Yi,16393,1
319,Hung Hom,11075,1
320,Ma Wan,12158,
321,Mei Foo,13097,
322,Tsing Yi,12310,1
323,Tsing Lung Tau,9451,
324,Whampoa,17029,1
325,Tuen Mun North,13480,1
326,Lam Tin,11797,
327,Lam Tin,13687,1
328,Tin Shui Wai,6250,
329,Whampoa,14894,1
330,To Kwa Wan,8457,1
331,To Kwa Wan,8836,
332,To Kwa Wan,10968,1
333,Tsing Yi,5535,
334,Tin Hau,17861,1
335,Tin Hau,17884,
336,Causeway Bay,21978,
337,Kai Tak New Area,23077,
338,San Po Kong,16604,1
339,Ap Lei CHau,14682,1
340,Tsim Sha Tsui,12824,1
341,Mid-Levels Central,34331,1
342,Tuen Mun Ferry Pier,11537,1
343,Mid-Levels West,15257,1
344,Tsim Sha Tsui,9921,1
345,Diamond Hill,14038,
346,Tsuen Wan West,19007,1
347,San Po Kong,10613,
348,Tsing Yi,9519,1
349,Tuen Mun South,8443,
350,Yuen Long Town Centre,10276,1
351,Tsuen Wan West,19355,0
352,Mid-Levels West,16949,1
353,Diamond Hill,14418,1
354,Kai Tak New Area,19084,1
355,Deep Bay,16953,1
356,Quarry Bay,17903,1
357,Tsing Yi,9600,
358,Tuen Mun South,13789,0
359,Ngau Tam Mei,16256,1
360,Ngau Chi Wan,10305,
361,Shap Pat Heung,12195,
362,Tin Shui Wai,15188,
363,Yuen Long Town Centre,11932,
364,Tung Chung Town Centre,11435,1
365,Kowloon Bay,10754,
366,Discovery Park,13559,1
367,North Point,14506,
368,Kennedy Town,18864,1
369,North Point,15429,
370,Kennedy Town,21899,
371,Olympic Station,20230,
372,Kowloon City,10577,0
373,Tsuen Wan Hoi Bun,11149,1
374,Shau Kei Wan,15874,
375,King's Park,15184,
376,Jordan,8488,1
377,Shau Kei Wan,13974,
378,Kowloon Bay,10358,0
379,Sai Wan Ho,12295,1
380,Ngau Tau Kok,10664,
381,Yau Tong,15960,0
382,Sai Ying Pun,15441,1
383,To Kwa Wan,12066,
384,To Kwa Wan,9425,
385,Sheung Wan,17316,1
386,Mei Foo,12623,1
387,Kowloon Tong,16614,
388,Lam Tin,13355,1
389,Kowloon Bay,11404,
390,Mei Foo,11974,1
391,Tung Chung Town Centre,12618,
392,Mong Kok,19417,
393,To Kwa Wan,12092,1
394,Discovery Bay,10395,1
395,Chi Lok,9311,
396,Chi Lok,16152,1
397,To Kwa Wan,10038,1
398,Tung Chung Town Centre,13516,1
399,Yuen Long Town Centre,9259,1
400,Yuen Long Town Centre,12774,1
401,Tuen Mun Town Centre,10247,1
402,Tai Hang Mid-Levels,18149,1
403,Tuen Mun North,13691,
404,Tai Hang Mid-Levels,20061,1
405,Yuen Long Station,16435,1
406,Yuen Long Station,12415,1
407,Whampoa,13917,
408,Tuen Mun Town Centre,18958,1
409,Olympic Station,20085,1
410,Mei Foo,12973,1
411,Kowloon Bay,14699,0
412,Mong Kok,10000,
413,Whampoa,13824,
414,Tin Shui Wai,14700,
415,Tuen Mun San Hui,14321,0
416,Siu Lam,10646,1
417,Tuen Mun San Hui,14286,0
418,Tin Shui Wai,10178,
419,Lai King,12434,
420,Tin Shui Wai,15708,
421,Tin Shui Wai,10145,1
422,So Kwun Wat,17133,
423,Tin Shui Wai,6597,
424,Tin Shui Wai,6154,
425,Tin Shui Wai,14490,
426,Ngau Tau Kok,10515,
427,Tin Shui Wai,14399,
428,Tin Shui Wai,7846,
429,Cheung Sha Wan,9341,
430,To Kwa Wan,12590,
431,Whampoa,17542,1
432,Kwun Tong,9982,1
433,Cheung Sha Wan,16000,1
434,Discovery Park,12918,1
435,To Kwa Wan,9988,
436,Yuen Long Town Centre,11986,1
437,Tung Chung Town Centre,11636,
438,Four Little Dragons,17053,1
439,Whampoa,11339,1
440,Tsing Lung Tau,18282,
441,Chai Wan,10694,
442,Prince Edward,8539,
443,Sham Shui Po,13841,1
444,Belvedere,10063,
445,To Kwa Wan,8775,1
446,To Kwa Wan,13245,
447,To Kwa Wan,13695,1
448,Tung Chung Town Centre,10468,1
449,To Kwa Wan,9276,
450,To Kwa Wan,11290,1
451,South Horizons,15509,1
452,Ho Man Tin,22222,0
453,Cheung Sha Wan,10605,1
454,Mei Foo,11823,1
455,To Kwa Wan,13813,1
456,To Kwa Wan,13815,
457,To Kwa Wan,9567,
458,Yau Kom Tau,12500,1
459,Yuen Long Town Centre,9508,
460,To Kwa Wan,10174,1
461,To Kwa Wan,14054,
462,Long Ping,7329,
463,Tuen Mun North,8361,
464,Tuen Mun North,7720,
465,Tsuen King Circuit,8071,0
466,South Horizons,15964,1
467,North Point,18815,
468,Discovery Park,14630,1
469,To Kwa Wan,13765,1
470,Quarry Bay,16873,1
471,Quarry Bay,16682,
472,Kwun Tong,10345,1
473,Shau Kei Wan,14438,1
474,Shau Kei Wan,16772,1
475,Kwun Tong,8858,
476,Kwun Tong,9728,0
477,Tuen Mun South,11389,1
478,Tuen Mun San Hui,8463,1
479,Belvedere,9982,1
480,Tuen Mun South,8649,
481,To Kwa Wan,14125,
482,Nam Cheong Station,24978,
483,Aberdeen,12055,
484,Tuen Mun Town Centre,11188,1
485,To Kwa Wan,13765,
486,To Kwa Wan,9549,1
487,Tsuen King Circuit,13449,
488,Quarry Bay,14450,
489,North Point,13273,1
490,Discovery Park,12292,1
491,So Kwun Wat,9913,1
492,Tai Kok Tsui,22447,
493,Tai Kok Tsui,22447,
494,So Kwun Wat,15488,
495,Lai King,11360,
496,Kennedy Town,15125,1
497,Tsuen King Circuit,9438,1
498,To Kwa Wan,8700,
499,Quarry Bay,12807,1
500,Shau Kei Wan,13844,
501,To Kwa Wan,11576,1
502,Yuen Long Town Centre,11798,
503,Tsing Yi,13340,1
504,Tsuen Wan Mid-levels,11634,1
505,Mong Kok,16401,1
506,Tsing Yi,13737,1
507,North Point Mid-Levels,15083,1
508,Tsing Yi,12243,
509,Tsing Yi,5398,
510,So Kwun Wat,12254,0
511,Kennedy Town,13587,1
512,To Kwa Wan,10162,1
513,Whampoa,15606,1
514,To Kwa Wan,12580,
515,Lam Tei,11823,1
516,Tsing Yi,15058,1
517,Tsing Yi,14423,1
518,Tin Shui Wai,15335,
519,Tin Shui Wai,14644,
520,Tin Shui Wai,15087,
521,Kowloon Bay,13197,
522,Kornhill,16630,1
523,Tin Shui Wai,14300,
524,Tin Shui Wai,18485,
525,Tin Shui Wai,15617,
526,Tin Shui Wai,15898,
527,Tin Shui Wai,16184,
528,Tsuen Wan Hoi Bun,11479,1
529,Kowloon Tong,14907,1
530,Ho Man Tin,12686,1
531,Tsing Yi,13755,1
532,Tsing Yi,4788,
533,Tsing Yi,5773,
534,Tsuen Wan Town Centre,9199,1
535,Kwun Tong,9644,
536,Kennedy Town,15125,1
537,Tin Shui Wai,10792,
538,Tin Shui Wai,18636,
539,Tin Shui Wai,15354,
540,Tin Shui Wai,14548,
541,Tin Shui Wai,16217,
542,Jordan,13072,
543,Tsing Yi,5089,
544,Tuen Mun San Hui,8377,1
545,Prince Edward,13259,0
546,Tung Chung Town Centre,10778,
547,Tsing Lung Tau,10507,0
548,Causeway Bay,11589,1
549,Kam Tin,13717,
550,Tsing Yi,15230,
551,Tsuen Wan Town Centre,14128,
552,Mid-Levels West,37879,
553,Tin Shui Wai,5336,
554,Tin Shui Wai,14755,
555,Tin Shui Wai,15632,
556,Yau Tong,10773,
557,Ping Shan,13004,
558,Tai Kok Tsui,9995,
559,Tai Kok Tsui,9797,
560,Tai Kok Tsui,9797,
561,Four Little Dragons,15685,
562,Kowloon City,10169,
563,South Horizons,17222,
564,Taikoo Shing,15946,
565,Tsing Yi,14403,
566,Tuen Mun South,11365,
567,Residence Bel-air,25219,
568,Diamond Hill,12141,
569,Tung Chung Town Centre,10379,1
570,Tuen Mun North,12557,1
571,Tsuen Wan West,19080,1
572,Tuen Mun San Hui,13808,0
573,Tai Kok Tsui,29429,
574,To Kwa Wan,12391,
575,Tuen Mun Ferry Pier,10055,
576,Olympic Station,28922,1
577,Tin Shui Wai,15153,
578,Tin Shui Wai,16606,
579,Tin Shui Wai,15910,
580,Cheung Sha Wan,15666,
581,Tsuen Wan Town Centre,12364,1
582,Tsuen Wan Town Centre,9333,
583,Tin Shui Wai,10717,1
584,Tin Shui Wai,15323,
585,To Kwa Wan,9352,
586,Mid-Levels West,18902,
587,Tin Shui Wai,15561,
588,Mid-Levels West,27199,1
589,Ho Man Tin,11175,
590,To Kwa Wan,14125,
591,Tsing Yi,5697,
592,Tsing Yi,14056,1
593,Tsing Yi,4944,
594,Aberdeen,11527,1
595,Ho Man Tin,13902,
596,Kennedy Town,18835,
597,Ho Man Tin,18228,0
598,Tsing Yi,5425,
599,Cheung Sha Wan,7004,
600,Kowloon Bay,11914,
601,Tuen Mun Town Centre,12630,
602,Tai Tam,29388,
603,Mid-Levels West,23653,1
604,Tung Chung Town Centre,12054,1
605,Deep Bay,38009,1
606,To Kwa Wan,13378,1
607,Tin Shui Wai,11039,1
608,Shek Tong Tsui,16031,1
609,Tai Kok Tsui,24359,
610,Tsing Yi,10913,
