index,Area,Unit Price (Saleable)int,gain/loss
27928,Mid-Levels West,20181,1
27929,Mid-Levels West,32273,
27930,Choi Hung,15963,1
27931,Yuen Long Station,21573,
27932,Kowloon Bay,21517,
27933,Kowloon Bay,22655,
27934,Kowloon Bay,21582,
27935,Kowloon Bay,21093,
27936,Kowloon Bay,23258,
27937,Kowloon Bay,21549,
27938,Kowloon Bay,20993,
27939,Kowloon Bay,22826,
27940,Belvedere,11976,
27941,Shek Kip Mei,10914,1
27942,Tuen Mun North,12172,1
27943,Yuen Long Station,22911,
27944,Chi Lok,10242,
27945,Tai Kok Tsui,8548,
27946,Olympic Station,23811,1
27947,Olympic Station,24432,1
27948,Olympic Station,23575,1
27949,Ho Man Tin,18844,1
27950,Ho Man Tin,21818,1
27951,Tai Kok Tsui,19020,1
27952,Tuen Mun Town Centre,13521,1
27953,Tai Hang Mid-Levels,23491,0
27954,Tin Hau,12911,1
27955,Tsuen Wan Town Centre,15152,1
27956,Deep Bay,14573,
27957,Wan Chai,14754,0
27958,Yuen Long Station,14129,1
27959,Wan Chai,15152,0
27960,Tai Hang Mid-Levels,25915,1
27961,Siu Lam,10279,1
27962,Chai Wan,13825,
27963,Tin Hau,14901,1
27964,Mid-Levels West,29871,
27965,Discovery Bay,11511,1
27966,Yuen Long Station,17258,1
27967,Kowloon Bay,23353,
27968,Mid-Levels West,24799,1
27969,Mid-Levels West,28651,
27970,Mid-Levels West,37330,1
27971,Mid-Levels West,27617,
27972,Mid-Levels West,30663,
27973,Tsuen Wan West,21698,1
27974,Quarry Bay,14318,1
27975,Kowloon Bay,22764,
27976,Hung Hom,15938,1
27977,Kowloon Bay,20744,
27978,Whampoa,12870,
27979,Mid-Levels West,29509,
27980,Cheung Sha Wan,13356,
27981,Kai Tak New Area,24526,
27982,Wan Chai,10475,1
27983,Kowloon Bay,23750,
27984,Tuen Mun South,11899,1
27985,Deep Water Bay,110831,
27986,Tsing Lung Tau,9697,1
27987,Tsing Lung Tau,16221,
27988,Kowloon Bay,21807,
27989,Chai Wan,9286,
27990,Lam Tin,15280,1
27991,Lam Tin,13369,1
27992,Kowloon Bay,17921,1
27993,Kennedy Town,18905,1
27994,Kennedy Town,30616,
27995,Kornhill,18182,
27996,Sham Shui Po,8552,
27997,Tin Shui Wai,11125,1
27998,Tin Shui Wai,13951,
27999,Tin Hau,15385,1
28000,Jordan,14626,
28001,Kowloon Bay,22478,
28002,Causeway Bay,15092,1
28003,Lam Tei,12222,1
28004,North Point,12678,
28005,Kwun Tong,14970,1
28006,Kwun Tong,13406,
28007,Central,21521,1
28008,Taikoo Shing,19488,
28009,Taikoo Shing,22003,1
28010,Taikoo Shing,19932,
28011,North Point Mid-Levels,16327,1
28012,Tuen Mun South,11421,
28013,Olympic Station,22382,1
28014,Tuen Mun Town Centre,15429,1
28015,Kwun Tong,20036,1
28016,Aberdeen,14856,1
28017,Olympic Station,24183,1
28018,Kowloon Tong,26736,1
28019,Quarry Bay,9880,1
28020,Kai Tak New Area,25400,
28021,Mid-Levels Central,32907,1
28022,Olympic Station,21395,1
28023,Kowloon Station,35781,1
28024,Jordan,5305,1
28025,Sam Shing,9526,1
28026,Mid-Levels West,27991,
28027,Kowloon Bay,22297,
28028,Kennedy Town,19823,1
28029,Kowloon Bay,23429,
28030,Kowloon Bay,13041,1
28031,Kowloon Bay,22704,
28032,Ha Kwai Chung,12048,
28033,Mid-Levels West,28235,
28034,Ha Kwai Chung,12685,
28035,Kowloon Bay,15873,1
28036,Kowloon Bay,16667,1
28037,Mid-Levels West,31164,
28038,Mid-Levels West,29369,
28039,Mid-Levels West,30122,
28040,Sai Ying Pun,16529,
28041,Kowloon Bay,22619,
28042,Mei Foo,12713,1
28043,Nam Cheong Station,28032,
28044,Nam Cheong Station,24385,
28045,Wong Tai Sin,7449,
28046,Diamond Hill,18762,1
28047,Tuen Mun Ferry Pier,12650,1
28048,Whampoa,17439,1
28049,Kai Tak New Area,22519,1
28050,Happy Valley,18786,1
28051,Tung Chung Town Centre,8113,
28052,Ngau Chi Wan,11092,
28053,Siu Hong,12351,1
28054,Tung Chung Town Centre,12890,1
28055,Tung Chung Town Centre,14876,1
28056,Tung Chung Town Centre,13051,1
28057,Tuen Mun North,15706,1
28058,Yau Ma Tei,14130,1
28059,Shap Pat Heung,14658,1
28060,Kai Tak New Area,25195,
28061,Au Tau,14493,1
28062,Diamond Hill,6856,
28063,Kai Tak New Area,22945,
28064,Kai Tak New Area,26618,
28065,South Horizons,16277,1
28066,Mei Foo,13716,
28067,Diamond Hill,15221,
28068,Nam Cheong Station,30070,
28069,Diamond Hill,16205,
28070,Tsuen Wan Town Centre,8526,1
28071,Nam Cheong Station,27634,
28072,Tsuen Wan Town Centre,7606,1
28073,Tsuen Wan Town Centre,15947,1
28074,Tsuen King Circuit,14156,1
28075,Tung Chung Town Centre,15227,1
28076,To Kwa Wan,21081,1
28077,Mid-Levels West,28651,
28078,Tai Kok Tsui,17648,1
28079,Tai Kok Tsui,12019,
28080,Cheung Sha Wan,13356,1
28081,Wong Tai Sin,14143,1
28082,Yau Tong,10307,
28083,Cheung Sha Wan,18358,1
28084,Chi Lok,11524,1
28085,To Kwa Wan,9514,1
28086,Whampoa,14722,1
28087,Tsing Yi,12130,
28088,Tsing Yi,13361,1
28089,Tsing Yi,6591,
28090,Kam Tin,17362,1
28091,Kowloon Station,28716,1
28092,Tung Chung Town Centre,11516,1
28093,Kam Tin,13405,1
28094,Tsing Yi,14878,1
28095,Happy Valley,19181,1
28096,Tin Shui Wai,8692,
28097,Mid-Levels West,30940,
28098,Tsuen King Circuit,16509,1
28099,Mid-Levels West,30263,
28100,Sheung Wan,13656,1
28101,Mid-Levels West,30033,
28102,Tsuen Wan Town Centre,14796,1
28103,Sheung Wan,18526,1
28104,Sheung Wan,26667,1
28105,Kai Tak New Area,25791,
28106,Mid-Levels West,29884,
28107,Kai Tak New Area,35562,
28108,Tsuen Wan Town Centre,8565,1
28109,Mid-Levels West,22817,1
28110,Tai Hang,17459,1
28111,Quarry Bay,12973,1
28112,Long Ping,15801,1
28113,Tuen Mun South,13363,1
28114,Kai Tak New Area,25681,
28115,Ma Wan,12866,1
28116,North Point,16335,1
28117,Nob Hill,18425,1
28118,Diamond Hill,16863,1
28119,Quarry Bay,15965,1
28120,Tai Hang Mid-Levels,18275,1
28121,Prince Edward,13514,0
28122,Tuen Mun Town Centre,15944,1
28123,Tin Shui Wai,11566,1
28124,Happy Valley,15381,1
28125,Sai Wan Ho,13204,1
28126,Kowloon Bay,24226,
28127,Kowloon Bay,22612,
28128,Kowloon Bay,22110,
28129,Tai Tam,95176,
28130,Mid-Levels West,19630,1
28131,Mid-Levels West,17726,
28132,Mid-Levels West,30394,
28133,Hung Hom,14050,1
28134,Sai Ying Pun,17456,
28135,Ho Man Tin,19472,1
28136,Ho Man Tin,13911,
28137,Kowloon Bay,24081,
28138,Kowloon Bay,22963,
28139,Kowloon Bay,22346,
28140,Kowloon Bay,22948,
28141,Tsuen Wan West,17222,1
28142,Tin Hau,15728,1
28143,Kowloon Bay,22283,
28144,Shau Kei Wan,14444,1
28145,Tin Hau,16082,
28146,Ha Kwai Chung,8636,
28147,Discovery Bay,13240,1
28148,Kowloon Bay,21164,
28149,Discovery Bay,10533,1
28150,Lam Tin,10746,1
28151,Yau Tong,12128,
28152,Kowloon Bay,22878,
28153,Siu Hong,13456,1
28154,Taikoo Shing,17751,
28155,Yuen Long Town Centre,9240,1
28156,Yuen Long Town Centre,7026,
28157,Long Ping,15021,1
28158,Kowloon Tong,15174,1
28159,Mei Foo,13662,1
28160,Kowloon Tong,17429,
28161,Yuen Long Town Centre,7075,
28162,Shek Tong Tsui,22128,1
28163,Shek Tong Tsui,18033,1
28164,Chi Lok,11826,1
28165,Yuen Long Town Centre,14665,1
28166,Hung Hom,14341,0
28167,Belvedere,12335,1
28168,Yuen Long Town Centre,14000,1
28169,Yuen Long Town Centre,13313,1
28170,Yuen Long Town Centre,11870,1
28171,Yuen Long Town Centre,11888,1
28172,Tin Wan,26701,
28173,Tuen Mun North,12132,1
28174,Kowloon Station,29888,1
28175,Taikoo Shing,19083,
28176,Kowloon Station,23061,1
28177,Wan Chai,14560,1
28178,Tuen Mun Town Centre,14816,1
28179,Wan Chai,15075,1
28180,Kennedy Town,13441,
28181,Tuen Mun South,9657,
28182,Tung Chung Town Centre,10460,1
28183,To Kwa Wan,15050,1
28184,Tuen Mun Ferry Pier,10997,1
28185,Heng Fa Chuen,16088,0
28186,Tai Kok Tsui,11561,0
28187,Tai Kok Tsui,20108,1
28188,Tai Kok Tsui,12565,
28189,Tai Kok Tsui,10343,
28190,Tai Kok Tsui,23936,1
28191,San Po Kong,8557,
28192,San Po Kong,11717,
28193,San Po Kong,8067,
28194,Wan Chai,23101,1
28195,San Po Kong,12047,
28196,Lam Tin,15097,1
28197,Four Little Dragons,16611,1
28198,Lam Tin,10477,
28199,Tsuen King Circuit,14395,1
28200,Au Tau,14165,1
28201,Lam Tin,21598,
28202,Kai Tak New Area,25397,
28203,Yuen Long Station,18343,1
28204,Tsing Yi,11390,1
28205,Au Tau,10946,1
28206,Kai Tak New Area,25974,
28207,Yuen Long Station,17791,1
28208,Tsing Yi,6041,
28209,Yuen Long Station,14783,1
28210,Kai Tak New Area,26545,
28211,San Po Kong,12551,
28212,Kam Tin,15558,1
28213,Lam Tin,22414,
28214,Tuen Mun Town Centre,15938,1
28215,Jordan,17258,1
28216,Yuen Long Station,16652,1
28217,Tsing Yi,18984,1
28218,Kai Tak New Area,24160,1
28219,Lam Tin,22338,
28220,Kai Tak New Area,26658,
28221,Kai Tak New Area,26401,
28222,Au Tau,11729,1
28223,Kai Tak New Area,27401,
28224,Kai Tak New Area,26728,
28225,Kai Tak New Area,26268,
28226,Jordan,16609,1
28227,Kennedy Town,14412,
28228,Nam Cheong Station,28099,
28229,Mong Kok,7514,
28230,Nam Cheong Station,28952,
28231,Nam Cheong Station,26087,
28232,Lam Tin,14381,1
28233,Lam Tin,12111,1
28234,Lam Tin,12053,
28235,Lam Tin,23680,
28236,Sham Shui Po,14894,
28237,Sham Shui Po,9401,
28238,Sham Shui Po,14068,1
28239,Sham Shui Po,6292,1
28240,Sham Shui Po,19996,
28241,So Kwun Wat,12843,
28242,Kowloon Bay,22654,
28243,Shek Tong Tsui,11585,
28244,Tin Hau,17753,1
28245,Tin Hau,12616,1
28246,Tsuen Wan West,21924,1
28247,Belvedere,11734,1
28248,Belvedere,12675,1
28249,Kai Tak New Area,23150,
28250,Mei Foo,11879,1
28251,Kowloon City,10226,
28252,Kai Tak New Area,26675,
28253,Tung Chung Town Centre,15560,1
28254,Kai Tak New Area,25916,
28255,Kai Tak New Area,23135,
28256,Kai Tak New Area,26149,
28257,Kai Tak New Area,24854,
28258,Kai Tak New Area,23060,
28259,Yuen Long Town Centre,13291,1
28260,Mei Foo,16897,1
28261,Yuen Long Town Centre,12966,1
28262,Yuen Long Town Centre,14595,1
28263,Shau Kei Wan,12065,
28264,Tsuen King Circuit,16160,1
28265,To Kwa Wan,20778,1
28266,To Kwa Wan,19000,1
28267,Kowloon City,17100,1
28268,Ma Tau Wai,11298,1
28269,To Kwa Wan,9057,
28270,Kai Tak New Area,23385,
28271,Tsuen Wan West,19548,1
28272,Four Little Dragons,18061,1
28273,Tin Shui Wai,7538,
28274,Tin Shui Wai,7607,
28275,Sai Wan Ho,22731,1
28276,Mid-Levels West,20161,1
28277,Tsuen Wan Town Centre,15601,
28278,Yuen Long Station,15424,1
28279,Tsuen Wan Town Centre,13653,
28280,Tsuen Wan Town Centre,9592,1
28281,North Point Mid-Levels,19714,1
28282,Yuen Long Station,12821,
28283,Kai Tak New Area,23856,
28284,Tuen Mun Town Centre,14731,0
28285,Wong Tai Sin,14205,1
28286,Kornhill,18167,
28287,Shek Tong Tsui,14595,
28288,Lam Tin,22938,
28289,Tung Chung Town Centre,14108,1
28290,Kowloon City,,1
28291,Kai Tak New Area,23355,
28292,Kai Tak New Area,23856,
28293,Tsuen King Circuit,13300,1
28294,Tuen Mun Town Centre,12948,1
28295,Kai Tak New Area,25876,
28296,Kowloon City,17788,
28297,Sai Ying Pun,14793,1
28298,Taikoo Shing,21552,1
28299,Sham Shui Po,8282,1
28300,Causeway Bay,14530,0
28301,Wan Chai,26366,1
28302,Wan Chai,11173,0
28303,Quarry Bay,19208,1
28304,Kai Tak New Area,25859,
28305,Kai Tak New Area,27985,
28306,Sheung Wan,13711,
28307,Kai Tak New Area,25453,
28308,Long Ping,17606,1
28309,Yau Ma Tei,13514,
28310,Kennedy Town,28285,
28311,Ho Man Tin,13619,1
28312,Taikoo Shing,18899,1
28313,Tai Kok Tsui,21840,1
28314,Sheung Wan,13711,
28315,Residence Bel-air,22150,1
28316,King's Park,29860,1
28317,Kennedy Town,20058,1
28318,Tuen Mun North,14418,1
28319,Kennedy Town,12405,
28320,Wan Chai,21763,1
28321,Kai Tak New Area,23328,
28322,Yuen Long Town Centre,13401,1
28323,Ma Tau Wai,11182,1
28324,Tsing Yi,16091,1
28325,Tsing Yi,9158,1
28326,Tsing Yi,16662,1
28327,South Horizons,17243,1
28328,Taikoo Shing,17706,1
28329,Taikoo Shing,19608,1
28330,Residence Bel-air,29502,1
28331,South Horizons,17718,1
28332,Lai Wan,13103,
28333,Kennedy Town,14528,
28334,Tai Kok Tsui,15190,
28335,Ho Man Tin,12270,1
28336,Tai Kok Tsui,12244,1
28337,Tai Kok Tsui,12674,1
28338,Tai Kok Tsui,8728,
28339,Aberdeen,15682,1
28340,Deep Bay,19209,1
28341,Four Little Dragons,16397,1
28342,Lam Tin,15277,1
28343,Hung Hom,15928,1
28344,Chai Wan,9902,
28345,Chai Wan,14577,1
28346,Nam Cheong Station,24301,
28347,Nam Cheong Station,24156,0
28348,Nam Cheong Station,23784,
28349,Nam Cheong Station,28207,
28350,Chai Wan,16220,1
28351,Jordan,16769,1
28352,Kowloon Bay,12776,
28353,Kowloon Bay,21638,
28354,Ha Kwai Chung,11667,1
28355,North Point Mid-Levels,24024,1
28356,Kowloon Bay,22930,
28357,Pok Fu Lam,17171,1
28358,Tsing Yi,18286,1
28359,Tuen Mun North,4593,
28360,Long Ping,15873,1
28361,Kowloon Bay,24009,
28362,Kowloon Bay,21310,
28363,Kowloon Bay,22673,
28364,Ngau Tau Kok,,
28365,Ngau Tau Kok,12720,
28366,Kowloon Bay,21945,
28367,Kowloon Bay,21683,
28368,Kowloon Bay,21614,
28369,Kowloon Bay,23328,
28370,Kowloon Bay,23218,
28371,Kowloon Bay,16283,1
28372,Mid-Levels West,23187,1
28373,Mid-Levels West,30090,
28374,Mid-Levels West,16784,1
28375,Mid-Levels West,24611,1
28376,Kowloon Bay,21485,
28377,Kowloon Bay,22269,
28378,Tuen Mun North,12354,1
28379,Tuen Mun North,12768,1
28380,Yau Tong,20071,1
28381,Yuen Long Station,18199,1
28382,Sham Tseng,14981,1
28383,Tsing Yi,16069,1
28384,Tuen Mun Town Centre,16246,1
28385,Lai Wan,9457,
28386,Tsing Lung Tau,17194,
28387,Yuen Long Station,14674,1
28388,Cheung Sha Wan,14243,1
28389,Cheung Sha Wan,17799,1
28390,Laguna,20873,1
28391,Cheung Sha Wan,13470,1
28392,Yuen Long Station,16147,1
28393,Tsim Sha Tsui,12372,
28394,Prince Edward,8676,
28395,Prince Edward,9424,
28396,Olympic Station,23852,1
28397,Olympic Station,17637,1
28398,Olympic Station,21473,1
28399,Kwun Tong,23193,1
28400,Kwun Tong,11667,0
28401,Kowloon Bay,24227,
28402,Kowloon Bay,23103,
28403,Au Tau,19663,1
28404,Au Tau,14286,1
28405,Kowloon Bay,21744,
28406,Au Tau,13708,1
28407,Au Tau,12249,1
28408,Au Tau,14039,1
28409,Discovery Bay,9919,
28410,Au Tau,19026,1
28411,Au Tau,13882,1
28412,Kowloon Bay,24335,
28413,Happy Valley,22066,1
28414,Happy Valley,17882,1
28415,Shau Kei Wan,12872,
28416,Yuen Long Town Centre,14457,1
28417,Deep Bay,19115,
28418,Sai Wan Ho,18097,1
28419,Sai Wan Ho,20921,1
28420,To Kwa Wan,8670,
28421,Kai Tak New Area,23815,
28422,Nam Cheong Station,24432,
28423,Tsuen Wan Town Centre,14726,1
28424,Tsing Lung Tau,13370,1
28425,South Horizons,16181,1
28426,Kowloon Tong,15625,
28427,Kornhill,16880,1
28428,North Point Mid-Levels,19714,
28429,Tuen Mun Ferry Pier,12201,1
28430,Jordan,22699,1
28431,Kwun Tong,7906,
28432,Sai Ying Pun,17458,1
28433,Tuen Mun Ferry Pier,9654,
28434,Sai Ying Pun,12328,1
28435,Sham Tseng,9920,1
28436,Hung Shui Kiu North New Development Area,11514,1
28437,Mid-Levels West,30195,
28438,Mid-Levels West,23284,1
28439,Lam Tin,14866,1
28440,Yau Ma Tei,12500,
28441,Mid-Levels East,19161,1
28442,Nam Cheong Station,25027,
28443,Kennedy Town,21710,1
28444,Tuen Mun North,11172,
28445,Sai Ying Pun,18645,1
28446,Mong Kok,12690,1
28447,Sham Shui Po,19452,1
28448,Mong Kok,19899,1
28449,Tin Shui Wai,11460,1
28450,Discovery Bay,10082,1
28451,Kowloon Bay,13601,1
28452,Mid-Levels West,16352,1
28453,Ho Man Tin,12049,
28454,Discovery Bay,10974,1
28455,Ho Man Tin,18909,1
28456,Whampoa,15649,1
28457,Tuen Mun North,14364,1
28458,North Point,14085,
28459,Kowloon Bay,22358,
28460,Tuen Mun Town Centre,18966,1
28461,Tsuen Wan West,20594,1
28462,Long Ping,16234,0
28463,Kai Tak New Area,26106,
28464,Kai Tak New Area,26564,
28465,Kai Tak New Area,26704,
28466,Kai Tak New Area,23285,
28467,Kai Tak New Area,23540,
28468,Hung Hom,10152,
28469,Wong Tai Sin,7918,1
28470,Hung Hom,15748,1
28471,Nam Cheong Station,24122,
28472,Wah Fu,13899,
28473,North Point,18977,1
28474,North Point,18222,1
28475,Kai Tak New Area,26628,
28476,Shau Kei Wan,10121,
28477,Kowloon Bay,22927,
28478,Kowloon Bay,21880,
28479,Kowloon Bay,24325,
28480,Kowloon Bay,21776,
28481,Kowloon Bay,22790,
28482,Shau Kei Wan,13825,
28483,Kai Tak New Area,22956,
28484,Kowloon Bay,21645,
28485,Kowloon Bay,20914,
28486,Causeway Bay,22431,1
28487,Long Ping,16791,1
28488,Tung Chung Town Centre,15560,1
28489,Tsim Sha Tsui,33705,1
28490,Kowloon Bay,22774,
28491,Tung Chung Town Centre,13654,1
28492,Tin Shui Wai,12612,1
28493,Ma Wan,11961,1
28494,Mei Foo,13871,1
28495,Tuen Mun North,16768,1
28496,To Kwa Wan,22516,1
28497,Hung Hom Station,19894,1
28498,Tsing Yi,12419,
28499,Yuen Long Town Centre,10622,
28500,Tsz Wan Shan,10415,1
28501,Tsing Yi,14303,1
28502,Mei Foo,12580,1
28503,Yuen Long Station,19847,1
28504,Four Little Dragons,19213,1
28505,Kowloon Bay,16513,1
28506,Kowloon Bay,22391,
28507,Au Tau,11309,1
28508,Tsuen King Circuit,10507,
28509,Kai Tak New Area,26242,
28510,Kai Tak New Area,22815,
28511,Tsuen King Circuit,10658,1
28512,Prince Edward,11139,
28513,Kai Tak New Area,27546,
28514,Tsz Wan Shan,9289,
28515,Yau Yat Tsuen,15611,1
28516,Jordan,15064,1
28517,Tuen Mun South,12403,1
28518,Tuen Mun North,4459,
28519,South Horizons,18022,1
28520,Anderson,7233,
28521,Siu Hong,12704,1
28522,Sai Ying Pun,20430,1
28523,Taikoo Shing,18041,1
28524,North Point,13605,1
28525,North Point,13605,1
28526,Taikoo Shing,19244,1
28527,Taikoo Shing,14894,
28528,Au Tau,18427,1
28529,Tuen Mun North,13808,1
28530,North Point,14170,
28531,Siu Sai Wan,17611,1
28532,Tuen Mun North,13154,1
28533,Ma Wan,12765,1
28534,Kai Tak New Area,25081,
28535,North Point,9146,1
28536,North Point,9146,1
28537,Kai Tak New Area,22105,1
28538,Tuen Mun North,15978,1
28539,Kai Tak New Area,26692,
28540,Chai Wan,13615,
28541,Diamond Hill,16863,1
28542,To Kwa Wan,18597,1
28543,Aberdeen,16269,
28544,Quarry Bay,18866,1
28545,Quarry Bay,11952,1
28546,Yuen Long Station,18750,1
28547,Sai Ying Pun,16107,1
28548,Tuen Mun South,8581,
28549,Tung Chung Town Centre,15504,1
28550,Tung Chung Town Centre,8451,
28551,Tuen Mun South,11139,1
28552,Nam Cheong Station,28322,
28553,Nam Cheong Station,24580,
28554,Nam Cheong Station,28708,
28555,Nam Cheong Station,26255,
28556,Mid-Levels West,18910,1
28557,Tsuen Wan West,17952,1
28558,To Kwa Wan,16842,1
28559,To Kwa Wan,19219,1
28560,To Kwa Wan,19204,1
28561,Deep Bay,13503,
28562,Lam Tei,10603,1
28563,Mid-Levels Central,22177,1
28564,Ho Man Tin,32453,
28565,Kowloon Bay,12899,
28566,Shau Kei Wan,15896,1
28567,Shau Kei Wan,11585,1
28568,Ha Kwai Chung,15301,1
28569,Shau Kei Wan,10017,
28570,Ha Kwai Chung,11289,1
28571,Kowloon Bay,13710,
28572,Cheung Sha Wan,15853,
28573,Cheung Sha Wan,16833,1
28574,Cheung Sha Wan,8014,
28575,To Kwa Wan,9872,
28576,To Kwa Wan,19906,1
28577,Belvedere,11772,1
28578,Belvedere,13249,1
28579,Mong Kok,9643,1
28580,Tuen Mun Ferry Pier,14769,1
28581,Sham Shui Po,16446,
28582,Sham Shui Po,,
28583,Nob Hill,16042,1
28584,Wan Chai,13520,
28585,Chi Lok,12500,
28586,Kowloon Bay,22481,
28587,Wah Fu,13417,
28588,Kowloon Bay,21451,
28589,Kowloon Bay,22982,
28590,Kowloon Bay,21153,
28591,Ho Man Tin,70015,
28592,Kowloon Bay,16000,
28593,Kowloon Bay,21849,
28594,Kowloon Bay,13281,
28595,Ho Man Tin,16539,1
28596,To Kwa Wan,18927,1
28597,Kennedy Town,21084,1
28598,Tin Shui Wai,11111,1
28599,Shau Kei Wan,16914,1
28600,Happy Valley,23501,1
28601,Kennedy Town,30767,
28602,Kennedy Town,32976,
28603,Kennedy Town,29761,
28604,Ma Tau Wai,8426,1
28605,Kennedy Town,26488,1
28606,Lam Tin,22233,
28607,Ma Tau Wai,11602,
28608,Ngau Tau Kok,8955,
28609,Tsuen Wan Town Centre,8786,1
28610,Kennedy Town,20543,1
28611,Sheung Wan,20608,0
28612,Ho Man Tin,20709,0
28613,Yuk Kwai Shan Wan Poon,20041,1
28614,Sham Tseng,13500,1
28615,North Point Mid-Levels,15354,
28616,Cheung Sha Wan,15094,1
28617,Cheung Sha Wan,19353,1
28618,Tin Hau,34068,1
28619,Whampoa,16910,1
28620,Pok Fu Lam,15945,1
28621,Kowloon City,11837,
28622,Sheung Wan,21268,1
28623,Tuen Mun Town Centre,19572,1
28624,So Kwun Wat,10190,1
28625,Sai Wan Ho,23087,1
28626,Residence Bel-air,30295,1
28627,So Kwun Wat,10790,1
28628,Hung Shui Kiu North New Development Area,12887,1
28629,Cheung Chau,7093,
28630,Kowloon City,11688,
28631,Kwun Tong,7778,
28632,Kwun Tong,10045,
28633,Kwun Tong,9967,1
28634,Lam Tin,10853,
28635,Tsuen Wan Town Centre,8525,
28636,Tin Shui Wai,11459,1
28637,Lam Tin,23051,
28638,Siu Sai Wan,8237,
28639,Sai Ying Pun,23088,1
28640,Four Little Dragons,18737,1
28641,Four Little Dragons,16906,1
28642,Tsuen King Circuit,11354,1
28643,Causeway Bay,16357,
28644,Sheung Kwai Chung,10210,1
28645,Tin Shui Wai,11588,
28646,Long Ping,15712,1
28647,Tai Kok Tsui,17243,1
28648,Tsing Yi,14681,1
28649,Tin Shui Wai,11994,1
28650,Wong Tai Sin,14330,1
28651,Wong Tai Sin,12245,1
28652,Sai Wan Ho,25619,1
28653,Tai Kok Tsui,12982,
28654,Tin Shui Wai,12812,1
28655,Sam Shing,,
28656,Lam Tin,12074,
28657,Yuen Long South New Development Area,13135,
28658,Olympic Station,21369,1
28659,Tin Shui Wai,11060,1
28660,Tai Kok Tsui,21871,1
28661,Tai Kok Tsui,14340,1
28662,Tsing Lung Tau,17470,
28663,Mei Foo,10270,1
28664,Tsuen Wan Hoi Bun,12857,1
28665,Tuen Mun South,8368,
28666,Chai Wan,6330,
28667,Lam Tin,16369,1
28668,Belvedere,12545,1
28669,Kwun Tong,12802,
28670,Kwun Tong,26102,
28671,Yiu Tung,9948,
28672,Kennedy Town,24870,1
28673,Happy Valley,21186,1
28674,Tin Shui Wai,12500,1
28675,Tin Shui Wai,12812,1
28676,Lai Wan,11337,
28677,Lai Wan,11261,
28678,Tin Shui Wai,6283,
28679,Tin Shui Wai,11649,
28680,Shap Pat Heung,11538,1
28681,Shap Pat Heung,12133,1
28682,Sham Tseng,11689,1
28683,Sham Tseng,14417,1
28684,Laguna,15873,1
28685,Laguna,18897,1
28686,Ngau Tau Kok,7353,
28687,Palm Springs / Fairview,13022,1
28688,Palm Springs / Fairview,13583,1
28689,Yau Tong,12750,
28690,Tuen Mun South,6757,
28691,Tuen Mun South,7889,
28692,Sai Ying Pun,13517,
28693,So Kwun Wat,41200,
28694,Hung Hom,10899,
28695,Au Tau,12971,1
28696,Kennedy Town,19212,1
28697,Quarry Bay,14912,1
28698,Quarry Bay,16675,1
28699,Chai Wan,15160,
28700,Au Tau,15388,1
28701,Mid-Levels West,32593,1
28702,Tuen Mun Town Centre,17591,1
28703,Au Tau,15155,1
28704,Ho Man Tin,19231,1
28705,Au Tau,10963,1
28706,Au Tau,13636,1
28707,Kai Tak New Area,32000,
28708,Sai Ying Pun,17290,1
28709,Tsing Yi,12869,1
28710,Cheung Sha Wan,7619,
28711,Chai Wan,16654,
28712,Sheung Wan,13404,
28713,Cheung Sha Wan,15930,1
28714,Tai Kok Tsui,18552,1
28715,Kam Tin,12465,0
28716,Au Tau,10866,1
28717,Kai Tak New Area,26270,
28718,So Kwun Wat,17489,1
28719,Sham Shui Po,10283,
28720,Kwun Tong,11402,
28721,Jardine's,30392,
28722,Kowloon Bay,21678,
28723,Tai Hang,21074,1
28724,Tuen Mun South,10950,
28725,Shau Kei Wan,17167,1
28726,Sheung Wan,12246,
28727,Nam Cheong Station,24385,
28728,Shau Kei Wan,9797,
28729,Kowloon Bay,14275,1
28730,Mong Kok,25962,
28731,Mong Kok,13014,
28732,Kowloon Bay,18701,1
28733,Kowloon Bay,21864,
28734,Kowloon Bay,23057,
28735,To Kwa Wan,9263,
28736,Lantau,6937,
28737,Ngau Chi Wan,14160,1
28738,Tsing Lung Tau,19823,
28739,Sai Wan Ho,18597,1
28740,San Po Kong,13393,1
28741,Lai King,11164,
28742,Mid-Levels Central,21091,1
28743,Yuen Long Town Centre,15407,1
28744,Belvedere,14148,1
28745,Tuen Mun North,12124,1
28746,Lam Tin,11628,
28747,Tsuen King Circuit,14019,1
28748,Tsuen King Circuit,13009,1
28749,Tsuen King Circuit,11175,1
28750,Tsuen King Circuit,10884,
28751,Tsuen King Circuit,12963,1
28752,Whampoa,19140,1
28753,Tsuen King Circuit,9568,
28754,Tsuen King Circuit,9875,1
28755,Repulse Bay,28420,1
28756,Whampoa,16949,1
28757,Yuen Long Town Centre,11039,1
28758,Kwun Tong,10652,1
28759,Ngau Tam Mei,,
28760,Yuen Long Town Centre,12225,1
28761,Tuen Mun North,14382,1
28762,Tuen Mun San Hui,9479,
28763,Tuen Mun San Hui,7090,
28764,Belvedere,11974,1
28765,Kwun Tong,6754,
28766,Tuen Mun San Hui,8671,
28767,Tuen Mun San Hui,19294,1
28768,King's Park,26841,1
28769,Mid-Levels West,19737,1
28770,Kai Tak New Area,25370,
28771,Yuen Long Station,12821,1
28772,Tsuen Wan West,15152,1
28773,Shek Tong Tsui,12316,1
